step,month,day,hour,kwh_total,kwh_cooling,kwh_heating,kwh_fans,kwh_lights,kw_demand,base_cool_sp,base_heat_sp,mean_temp,mean_pmv,pmv_in_band,occupied,policy_reason
0,7,1,0.25,5.860441165579356,2.4635715851196776,0.0,0.17754520075072397,0.26813901328740164,23.441764662317425,26.7,15.6,26.589,0.3319,1.0,0,"baseline: scheduled setpoints, no override"
1,7,1,0.5,5.76934315140657,2.3724065819366844,0.0,0.17754520075072397,0.26813901328740164,23.07737260562628,26.7,15.6,26.799,0.3728,0.8,0,"baseline: scheduled setpoints, no override"
2,7,1,0.75,8.212219108820719,4.6286310059135145,0.0,0.3641967341880429,0.26813901328740164,32.848876435282875,26.7,15.6,26.55,0.3302,1.0,0,"baseline: scheduled setpoints, no override"
3,7,1,1.0,8.251489019337596,4.667900916430389,0.0,0.3641967341880429,0.26813901328740164,33.00595607735038,26.7,15.6,26.354,0.2907,0.8667,0,"baseline: scheduled setpoints, no override"
4,7,1,1.25,5.711169686308938,2.314233116839052,0.0,0.17754520075072397,0.26813901328740164,22.84467874523575,26.7,15.6,26.492,0.3107,1.0,0,"baseline: scheduled setpoints, no override"
5,7,1,1.5,5.7615166590917575,2.3645800896218714,0.0,0.17754520075072397,0.26813901328740164,23.04606663636703,26.7,15.6,26.695,0.3495,0.8,0,"baseline: scheduled setpoints, no override"
6,7,1,1.75,8.193498176111609,4.609910073204404,0.0,0.3641967341880429,0.26813901328740164,32.773992704446435,26.7,15.6,26.465,0.3101,1.0,0,"baseline: scheduled setpoints, no override"
7,7,1,2.0,8.362457872925507,4.778869770018303,0.0,0.3641967341880429,0.26813901328740164,33.44983149170203,26.7,15.6,26.273,0.2721,0.9333,0,"baseline: scheduled setpoints, no override"
8,7,1,2.25,5.761817715270095,2.36488114580021,0.0,0.17754520075072397,0.26813901328740164,23.04727086108038,26.7,15.6,26.421,0.2944,1.0,0,"baseline: scheduled setpoints, no override"
9,7,1,2.5,5.883386459428009,2.4864498899581227,0.0,0.17754520075072397,0.26813901328740164,23.533545837712037,26.7,15.6,26.62,0.3336,0.9333,0,"baseline: scheduled setpoints, no override"
10,7,1,2.75,8.462244308397336,4.878656205490132,0.0,0.3641967341880429,0.26813901328740164,33.848977233589345,26.7,15.6,26.401,0.2968,1.0,0,"baseline: scheduled setpoints, no override"
11,7,1,3.0,8.738830139083744,5.155242036176538,0.0,0.3641967341880429,0.26813901328740164,34.955320556334975,26.7,15.6,26.208,0.2593,0.9333,0,"baseline: scheduled setpoints, no override"
12,7,1,3.25,5.866468523168727,2.469531953698841,0.0,0.17754520075072397,0.26813901328740164,23.46587409267491,26.7,15.6,26.36,0.2836,1.0,0,"baseline: scheduled setpoints, no override"
13,7,1,3.5,5.955309483094404,2.5583729136245186,0.0,0.17754520075072397,0.26813901328740164,23.821237932377617,26.7,15.6,26.562,0.3249,0.9333,0,"baseline: scheduled setpoints, no override"
14,7,1,3.75,8.46887151227233,4.885283409365125,0.0,0.3641967341880429,0.26813901328740164,33.87548604908932,26.7,15.6,26.353,0.2908,1.0,0,"baseline: scheduled setpoints, no override"
15,7,1,4.0,8.643226653377269,5.059638550470063,0.0,0.3641967341880429,0.26813901328740164,34.572906613509076,26.7,15.6,26.161,0.2545,0.9333,0,"baseline: scheduled setpoints, no override"
16,7,1,4.25,3.2193913687191618,0.0,0.0,0.0,0.26813901328740164,12.877565474876647,26.7,15.6,26.583,0.3293,0.8667,0,"baseline: scheduled setpoints, no override"
17,7,1,4.5,5.759761622620108,2.362825053150222,0.0,0.17754520075072397,0.26813901328740164,23.03904649048043,26.7,15.6,26.718,0.3638,0.9333,0,"baseline: scheduled setpoints, no override"
18,7,1,4.75,8.352484183991828,4.749391184247243,0.0,0.38370163102542554,0.26813901328740164,33.409936735967314,26.7,15.6,26.421,0.313,0.8667,0,"baseline: scheduled setpoints, no override"
19,7,1,5.0,8.275844396747992,4.692256293840786,0.0,0.3641967341880429,0.26813901328740164,33.10337758699197,26.7,15.6,26.114,0.2489,1.0,0,"baseline: scheduled setpoints, no override"
20,7,1,5.25,7.03753834761264,2.3787993983982396,0.0,0.15804030391334134,0.26813901328740164,28.15015339045056,26.7,15.6,26.281,0.2744,1.0,0,"baseline: scheduled setpoints, no override"
21,7,1,5.5,4.602516648856424,0.0,0.0,0.0,0.3699570168427677,18.410066595425697,26.7,15.6,26.773,0.368,0.8667,0,"baseline: scheduled setpoints, no override"
22,7,1,5.75,5.736204662500091,2.294062961668717,0.0,0.17754520075072397,0.3411296602480513,22.944818650000364,26.7,15.6,26.89,0.4157,0.7333,0,"baseline: scheduled setpoints, no override"
23,7,1,6.0,8.30343091160245,4.685720841533024,0.0,0.38370163102542554,0.3105507216937709,33.2137236464098,26.7,15.6,26.63,0.3846,0.7333,0,"baseline: scheduled setpoints, no override"
24,7,1,6.25,8.619775293571738,5.034333506577871,0.0,0.3641967341880429,0.297797009120921,34.47910117428695,26.7,15.6,26.361,0.3415,0.8667,0,"baseline: scheduled setpoints, no override"
25,7,1,6.5,8.774371900771927,5.220700415243632,0.0,0.33558550466406534,0.2946419708780312,35.09748760308771,26.7,15.6,26.328,0.3398,0.8,0,"baseline: scheduled setpoints, no override"
26,7,1,6.75,4.926870170206351,1.533894005436519,0.0,0.17754520075072397,0.2919879518112549,19.707480680825405,26.7,15.6,26.71,0.4149,0.6667,0,"baseline: scheduled setpoints, no override"
27,7,1,7.0,8.315458001995463,4.728394408411191,0.0,0.3725624306509959,0.2910589900304618,33.26183200798185,26.7,15.6,26.647,0.4172,0.7333,1,"baseline: scheduled setpoints, no override"
28,7,1,7.25,8.514212510262382,4.757969706158836,0.0,0.5417419349387669,0.2910589900304618,34.05685004104953,26.7,15.6,26.299,0.3575,0.8,1,"baseline: scheduled setpoints, no override"
29,7,1,7.5,5.017239323993582,1.625193254078078,0.0,0.17754520075072397,0.2910589900304618,20.06895729597433,26.7,15.6,26.722,0.4376,0.6667,1,"baseline: scheduled setpoints, no override"
30,7,1,7.75,6.97450649389191,3.3636436980798496,0.0,0.3963619266472816,0.2910589900304618,27.89802597556764,26.7,15.6,26.775,0.4678,0.6,1,"baseline: scheduled setpoints, no override"
31,7,1,8.0,8.90501314278891,5.120070283286597,0.0,0.5704419903375305,0.2910589900304618,35.62005257115564,26.7,15.6,26.426,0.4164,0.7333,1,"baseline: scheduled setpoints, no override"
32,7,1,8.25,5.118324171305362,1.7262781013898578,0.0,0.17754520075072397,0.2910589900304618,20.47329668522145,26.7,15.6,26.934,0.5125,0.5333,1,"baseline: scheduled setpoints, no override"
33,7,1,8.5,7.286069753621932,3.641156730459394,0.0,0.4304121539977575,0.2910589900304618,29.14427901448773,26.7,15.6,26.931,0.5369,0.4667,1,"baseline: scheduled setpoints, no override"
34,7,1,8.75,9.191330927358267,5.366486060059155,0.0,0.6103439981343308,0.2910589900304618,36.76532370943307,26.7,15.6,26.493,0.4652,0.5333,1,"baseline: scheduled setpoints, no override"
35,7,1,9.0,5.1731237750363945,1.7810777051208904,0.0,0.17754520075072397,0.2910589900304618,20.692495100145578,26.7,15.6,27.061,0.5643,0.3333,1,"baseline: scheduled setpoints, no override"
36,7,1,9.25,7.4899239096954995,3.823820599769663,0.0,0.45160244076105516,0.2910589900304618,29.959695638781998,26.7,15.6,27.028,0.5785,0.4,1,"baseline: scheduled setpoints, no override"
37,7,1,9.5,9.50879344220628,5.65972157046111,0.0,0.6345710025803877,0.2910589900304618,38.03517376882512,26.7,15.6,26.558,0.4983,0.4,1,"baseline: scheduled setpoints, no override"
38,7,1,9.75,5.270567302097622,1.8738669406280366,0.0,0.18219949230480575,0.2910589900304618,21.08226920839049,26.7,15.6,27.157,0.6013,0.3333,1,"baseline: scheduled setpoints, no override"
39,7,1,10.0,7.712527739310848,4.027574531567465,0.0,0.4704523385786015,0.2910589900304618,30.85011095724339,26.7,15.6,27.106,0.6122,0.4,1,"baseline: scheduled setpoints, no override"
40,7,1,10.25,9.887326589709513,6.010309286237683,0.0,0.6625164343070495,0.2910589900304618,39.54930635883805,26.7,15.6,26.594,0.522,0.4,1,"baseline: scheduled setpoints, no override"
41,7,1,10.5,5.358993834754355,1.9550494319134168,0.0,0.18944353367615832,0.2910589900304618,21.43597533901742,26.7,15.6,27.208,0.6233,0.3333,1,"baseline: scheduled setpoints, no override"
42,7,1,10.75,7.79828897107269,4.106837385773063,0.0,0.4769507161348476,0.2910589900304618,31.19315588429076,26.7,15.6,27.141,0.6266,0.4,1,"baseline: scheduled setpoints, no override"
43,7,1,11.0,10.13888492069977,6.24062091629474,0.0,0.6837631352402473,0.2910589900304618,40.55553968279908,26.7,15.6,26.618,0.5293,0.4,1,"baseline: scheduled setpoints, no override"
44,7,1,11.25,5.432177163280588,2.026428941774372,0.0,0.191247352341437,0.2910589900304618,21.728708653122354,26.7,15.6,27.221,0.6239,0.3333,1,"baseline: scheduled setpoints, no override"
45,7,1,11.5,7.834361615811162,4.142897539614703,0.0,0.4769632070316782,0.2910589900304618,31.33744646324465,26.7,15.6,27.145,0.6234,0.4,1,"baseline: scheduled setpoints, no override"
46,7,1,11.75,10.434608679439231,6.505119765366146,0.0,0.7149880449083028,0.2910589900304618,41.738434717756924,26.7,15.6,26.624,0.5252,0.4,1,"baseline: scheduled setpoints, no override"
47,7,1,12.0,5.486353117217784,2.0809792977780446,0.0,0.19087295027495976,0.2910589900304618,21.945412468871137,26.7,15.6,27.208,0.6163,0.2667,1,"baseline: scheduled setpoints, no override"
48,7,1,12.25,7.838744662958425,4.153709414823815,0.0,0.4705343789698296,0.2910589900304618,31.3549786518337,26.7,15.6,27.134,0.6151,0.4,1,"baseline: scheduled setpoints, no override"
49,7,1,12.5,10.659448093646011,6.709257719951178,0.0,0.7356895045300521,0.2910589900304618,42.637792374584045,26.7,15.6,26.625,0.5212,0.4,1,"baseline: scheduled setpoints, no override"
50,7,1,12.75,5.571788973313946,2.1644117050577307,0.0,0.1928763990914336,0.2910589900304618,22.287155893255783,26.7,15.6,27.207,0.6176,0.2,1,"baseline: scheduled setpoints, no override"
51,7,1,13.0,7.957916047042424,4.267403850365352,0.0,0.47601132751229136,0.2910589900304618,31.831664188169697,26.7,15.6,27.151,0.6273,0.2667,1,"baseline: scheduled setpoints, no override"
52,7,1,13.25,11.101510487278846,7.105854853645816,0.0,0.781154764468248,0.2910589900304618,44.406041949115384,26.7,15.6,26.636,0.5406,0.3333,1,"baseline: scheduled setpoints, no override"
53,7,1,13.5,5.787530656108428,2.368912255002659,0.0,0.2041175319409886,0.2910589900304618,23.150122624433713,26.7,15.6,27.267,0.6505,0.2,1,"baseline: scheduled setpoints, no override"
54,7,1,13.75,8.266891583456424,4.543595795264733,0.0,0.5087949190269108,0.2910589900304618,33.067566333825695,26.7,15.6,27.206,0.6624,0.2667,1,"baseline: scheduled setpoints, no override"
55,7,1,14.0,11.705613753039863,7.64550910934638,0.0,0.8456037745287028,0.2910589900304618,46.82245501215945,26.7,15.6,26.653,0.5694,0.3333,1,"baseline: scheduled setpoints, no override"
56,7,1,14.25,5.998848028271074,2.5680005080642796,0.0,0.2163466510420132,0.2910589900304618,23.995392113084296,26.7,15.6,27.333,0.6859,0.2,1,"baseline: scheduled setpoints, no override"
57,7,1,14.5,8.546657769004339,4.790114469036024,0.0,0.542042430803534,0.2910589900304618,34.186631076017356,26.7,15.6,27.26,0.6957,0.2667,1,"baseline: scheduled setpoints, no override"
58,7,1,14.75,12.1497509374761,8.034976431656542,0.0,0.9002736366547768,0.2910589900304618,48.5990037499044,26.7,15.6,26.667,0.5928,0.3333,1,"baseline: scheduled setpoints, no override"
59,7,1,15.0,6.127351951740603,2.6867114752821672,0.0,0.22613960729365543,0.2910589900304618,24.50940780696241,26.7,15.6,27.38,0.7111,0.2,1,"baseline: scheduled setpoints, no override"
60,7,1,15.25,8.731701455229768,4.9476780277096495,0.0,0.5695225583553385,0.2910589900304618,34.92680582091907,26.7,15.6,27.307,0.7211,0.2667,1,"baseline: scheduled setpoints, no override"
61,7,1,15.5,12.486212757003546,8.318279305696642,0.0,0.9534325821421259,0.2910589900304618,49.944851028014185,26.7,15.6,26.687,0.6133,0.3333,1,"baseline: scheduled setpoints, no override"
62,7,1,15.75,6.231752739701911,2.7803817580741215,0.0,0.23687011246300801,0.2910589900304618,24.927010958807642,26.7,15.6,27.432,0.7354,0.2,1,"baseline: scheduled setpoints, no override"
63,7,1,16.0,8.858650102856052,5.051639671691267,0.0,0.592509562000003,0.2910589900304618,35.434600411424206,26.7,15.6,27.348,0.7413,0.2667,1,"baseline: scheduled setpoints, no override"
64,7,1,16.25,12.541100317176998,8.350080483016306,0.0,0.9765189649959096,0.2910589900304618,50.16440126870799,26.7,15.6,26.702,0.6247,0.3333,1,"baseline: scheduled setpoints, no override"
65,7,1,16.5,6.180660219904762,2.7293223297982037,0.0,0.23683702094177828,0.2910589900304618,24.72264087961905,26.7,15.6,27.443,0.742,0.2,1,"baseline: scheduled setpoints, no override"
